Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-0.1359041,0,-0.255555,0,-0.1359041,0
1,-0.1359041,0,-0.2026055,0,-0.1359041,0
2,-0.1201668,0,-0.1836217,0,-0.1201668,0
3,-0.1201668,0,-0.1741219,0,-0.1201668,0
4,-0.1176655,0,-0.1769567,0,-0.1176655,0
5,-0.09713393,0,-0.1391089,0,-0.09713393,0
6,-0.09244398,0,-0.1094164,0,-0.09244398,0
7,-0.09254821,0,-0.1065295,0,-0.09244398,0
8,-0.08514851,0,-0.1021886,0,-0.08514851,0
9,-0.08514851,0,-0.09144346,0,-0.08514851,0
10,-0.08223033,0,-0.09120897,0,-0.08223033,0
11,-0.08181345,0,-0.08911412,0,-0.08181345,0
12,-0.08097968,0,-0.08652423,0,-0.08097968,0
13,-0.07931215,0,-0.08713392,0,-0.07931215,0
14,-0.07785305,0,-0.08479937,0,-0.07785305,0
15,-0.0771235,0,-0.08356957,0,-0.0771235,0
16,-0.0771235,0,-0.08301719,0,-0.0771235,0
17,-0.07639395,0,-0.08293903,0,-0.07639395,0
18,-0.07389265,0,-0.07928088,0,-0.07389265,0
19,-0.07045336,0,-0.0774518,0,-0.07045336,0
20,-0.06972381,0,-0.07800938,0,-0.06972381,0
21,-0.06690985,0,-0.08708182,0,-0.06690985,0
22,-0.0642001,0,-0.06999478,0,-0.0642001,0
23,-0.06284523,0,-0.06567483,0,-0.06284523,0
24,-0.06284523,0,-0.0817926,0,-0.06284523,0
25,-0.06065659,0,-0.06779572,0,-0.06065659,0
26,-0.06065659,0,-0.06484628,0,-0.06065659,0
27,-0.06065659,0,-0.0646691,0,-0.06065659,0
28,-0.06065659,0,-0.08149036,0,-0.06065659,0
29,-0.06065659,0,-0.07367378,0,-0.06065659,0
30,-0.06065659,0,-0.06636269,0,-0.06065659,0
31,-0.05992705,0,-0.08738926,0,-0.05992705,0
32,-0.05992705,0,-0.09223033,0,-0.05992705,0
33,-0.05992705,0,-0.06356435,0,-0.05992705,0
34,-0.0591975,0,-0.06217822,0,-0.0591975,0
35,-0.05888484,0,-0.06192808,0,-0.05888484,0
36,-0.05846795,0,-0.06180302,0,-0.05846795,0
37,-0.05825951,0,-0.07406462,0,-0.05825951,0
38,-0.05752996,0,-0.06250651,0,-0.05752996,0
39,-0.05763419,0,-0.06336113,0,-0.05752996,0
40,-0.05565399,0,-0.07695153,0,-0.05565399,0
41,-0.05565399,0,-0.06208963,0,-0.05565399,0
42,-0.0552371,0,-0.06619073,0,-0.0552371,0
43,-0.05419489,0,-0.07549244,0,-0.05419489,0
44,-0.05409067,0,-0.07280876,0,-0.05409067,0
45,-0.05242314,0,-0.05942678,0,-0.05242314,0
46,-0.05158937,0,-0.05550287,0,-0.05158937,0
47,-0.05085982,0,-0.05491922,0,-0.05085982,0
48,-0.04887963,0,-0.05467952,0,-0.04887963,0
49,-0.04679521,0,-0.06921834,0,-0.04679521,0
50,-0.04596144,0,-0.054716,0,-0.04596144,0
51,-0.04585722,0,-0.0711308,0,-0.04585722,0
52,-0.04585722,0,-0.05868161,0,-0.04585722,0
53,-0.04512767,0,-0.05799376,0,-0.04512767,0
54,-0.04262637,0,-0.05220949,0,-0.04262637,0
55,-0.04262637,0,-0.06630537,0,-0.04262637,0
56,-0.04200104,0,-0.0590099,0,-0.04200104,0
57,-0.04283481,0,-0.06396561,0,-0.04200104,0
58,-0.04283481,0,-0.05304325,0,-0.04200104,0
59,-0.04231371,0,-0.06640437,0,-0.04200104,0
60,-0.04220948,0,-0.06697239,0,-0.04200104,0
61,-0.04283481,0,-0.05316832,0,-0.04200104,0
62,-0.04231371,0,-0.06673267,0,-0.04200104,0
63,-0.04210526,0,-0.05140698,0,-0.04200104,0
64,-0.04231371,0,-0.0565086,0,-0.04200104,0
65,-0.04252215,0,-0.05163627,0,-0.04200104,0
