Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-0.1359041,0,-0.2555394,0,-0.1359041,0
1,-0.1359041,0,-0.2016519,0,-0.1359041,0
2,-0.1359041,0,-0.1820011,0,-0.1359041,0
3,-0.1011985,0,-0.170568,0,-0.1011985,0
4,-0.08327254,0,-0.1322616,0,-0.08327254,0
5,-0.07722773,0,-0.1205732,0,-0.07722773,0
6,-0.07722773,0,-0.09455967,0,-0.07722773,0
7,-0.07722773,0,-0.1022824,0,-0.07722773,0
8,-0.0771235,0,-0.08502866,0,-0.0771235,0
9,-0.07649818,0,-0.08550286,0,-0.07649818,0
10,-0.07139135,0,-0.0866493,0,-0.07139135,0
11,-0.07045336,0,-0.09044816,0,-0.07045336,0
12,-0.06784784,0,-0.095852,0,-0.06784784,0
13,-0.06784784,0,-0.0988223,0,-0.06784784,0
14,-0.0676394,0,-0.07713912,0,-0.0676394,0
15,-0.06743095,0,-0.07784784,0,-0.06743095,0
16,-0.06315789,0,-0.07369985,0,-0.06315789,0
17,-0.06232413,0,-0.08447629,0,-0.06232413,0
18,-0.06221991,0,-0.1016623,0,-0.06221991,0
19,-0.06107347,0,-0.08529963,0,-0.06107347,0
20,-0.05888484,0,-0.08903597,0,-0.05888484,0
21,-0.05429912,0,-0.07916103,0,-0.05429912,0
22,-0.05429912,0,-0.09397604,0,-0.05429912,0
23,-0.05263158,0,-0.06504951,0,-0.05263158,0
24,-0.05263158,0,-0.08541428,0,-0.05263158,0
25,-0.05263158,0,-0.09887963,0,-0.05263158,0
26,-0.05263158,0,-0.09429391,0,-0.05263158,0
27,-0.05231892,0,-0.09128191,0,-0.05231892,0
28,-0.05117249,0,-0.1063314,0,-0.05117249,0
29,-0.05117249,0,-0.08249088,0,-0.05117249,0
30,-0.05117249,0,-0.1116936,0,-0.05117249,0
31,-0.04971339,0,-0.09063053,0,-0.04971339,0
32,-0.04971339,0,-0.06067222,0,-0.04971339,0
33,-0.04971339,0,-0.07243876,0,-0.04971339,0
34,-0.04887962,0,-0.06495049,0,-0.04887962,0
35,-0.04887962,0,-0.08491401,0,-0.04887962,0
36,-0.04585722,0,-0.07956748,0,-0.04585722,0
37,-0.045753,0,-0.06440334,0,-0.045753,0
38,-0.04460657,0,-0.06227723,0,-0.04460657,0
39,-0.04418968,0,-0.095654,0,-0.04418968,0
40,-0.04147994,0,-0.07791038,0,-0.04147994,0
41,-0.04106306,0,-0.07729026,0,-0.04106306,0
42,-0.04054195,0,-0.07677437,0,-0.04054195,0
43,-0.04043773,0,-0.08548202,0,-0.04043773,0
44,-0.04012506,0,-0.08767067,0,-0.04012506,0
45,-0.03939552,0,-0.09450756,0,-0.03939552,0
46,-0.03939552,0,-0.09774883,0,-0.03939552,0
47,-0.03814487,0,-0.09110995,0,-0.03814487,0
48,-0.03814487,0,-0.08227201,0,-0.03814487,0
49,-0.03814487,0,-0.07119333,0,-0.03814487,0
50,-0.03814487,0,-0.08180825,0,-0.03814487,0
51,-0.03814487,0,-0.09736843,0,-0.03814487,0
52,-0.03814487,0,-0.07204795,0,-0.03814487,0
53,-0.03814487,0,-0.07423659,0,-0.03814487,0
54,-0.03804065,0,-0.07417927,0,-0.03804065,0
55,-0.03793643,0,-0.09003127,0,-0.03793643,0
56,-0.03804065,0,-0.07979676,0,-0.03793643,0
57,-0.03751954,0,-0.06730589,0,-0.03751954,0
58,-0.03428869,0,-0.09547681,0,-0.03428869,0
59,-0.03908285,0,-0.07780094,0,-0.03428869,0
60,-0.03428869,0,-0.08646692,0,-0.03428869,0
61,-0.03908285,0,-0.1037885,0,-0.03428869,0
62,-0.03428869,0,-0.0590099,0,-0.03428869,0
63,-0.03897864,0,-0.09424701,0,-0.03428869,0
64,-0.03428869,0,-0.09403856,0,-0.03428869,0
65,-0.03637311,0,-0.08667015,0,-0.03428869,0
66,-0.03428869,0,-0.1141271,0,-0.03428869,0
67,-0.03428869,0,-0.1185722,0,-0.03428869,0
68,-0.03616467,0,-0.07475248,0,-0.03428869,0
69,-0.03699844,0,-0.08940072,0,-0.03428869,0
70,-0.03428869,0,-0.08864514,0,-0.03428869,0
71,-0.03428869,0,-0.08332985,0,-0.03428869,0
72,-0.04220948,0,-0.0820271,0,-0.03428869,0
73,-0.04095883,0,-0.09030745,0,-0.03428869,0
74,-0.0398124,0,-0.07304326,0,-0.03428869,0
75,-0.03428869,0,-0.08961438,0,-0.03428869,0
76,-0.04325169,0,-0.09692547,0,-0.03428869,0
77,-0.03428869,0,-0.0601876,0,-0.03428869,0
78,-0.04596144,0,-0.1000417,0,-0.03428869,0
79,-0.03428869,0,-0.06520584,0,-0.03428869,0
80,-0.04439813,0,-0.1109953,0,-0.03428869,0
81,-0.03428869,0,-0.0722147,0,-0.03428869,0
82,-0.04762897,0,-0.07992183,0,-0.03428869,0
83,-0.04564878,0,-0.07902554,0,-0.03428869,0
84,-0.03428869,0,-0.06284002,0,-0.03428869,0
85,-0.03428869,0,-0.06550808,0,-0.03428869,0
86,-0.03428869,0,-0.08870766,0,-0.03428869,0
87,-0.04147994,0,-0.1072642,0,-0.03428869,0
88,-0.04147994,0,-0.09415321,0,-0.03428869,0
89,-0.03428869,0,-0.07454403,0,-0.03428869,0
90,-0.03824909,0,-0.09489317,0,-0.03428869,0
91,-0.04033351,0,-0.08937468,0,-0.03428869,0
92,-0.04022929,0,-0.08764982,0,-0.03428869,0
93,-0.03428869,0,-0.07756645,0,-0.03428869,0
94,-0.03241272,0,-0.1019646,0,-0.03241272,0
95,-0.03241272,0,-0.08969255,0,-0.03241272,0
96,-0.03230849,0,-0.1148515,0,-0.03230849,0
97,-0.03241272,0,-0.07937989,0,-0.03230849,0
98,-0.03241272,0,-0.09901511,0,-0.03230849,0
99,-0.03241272,0,-0.09894737,0,-0.03230849,0
100,-0.03241272,0,-0.09894737,0,-0.03230849,0

