Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-0.1161236,0,-0.256863,0,-0.1161236,0
1,-0.1161236,0,-0.2091437,0,-0.1161236,0
2,-0.1031746,0,-0.2166792,0,-0.1031746,0
3,-0.09314954,0,-0.1720134,0,-0.09314954,0
4,-0.09314954,0,-0.1663242,0,-0.09314954,0
5,-0.0817878,0,-0.1394236,0,-0.0817878,0
6,-0.08170426,0,-0.1048705,0,-0.08170426,0
7,-0.07969925,0,-0.1127277,0,-0.07969925,0
8,-0.07878029,0,-0.09357561,0,-0.07878029,0
9,-0.07627402,0,-0.08322055,0,-0.07627402,0
10,-0.07585631,0,-0.08662491,0,-0.07585631,0
11,-0.07477026,0,-0.1040602,0,-0.07477026,0
12,-0.07368421,0,-0.09760234,0,-0.07368421,0
13,-0.07360067,0,-0.1035798,0,-0.07360067,0
14,-0.07360067,0,-0.09101086,0,-0.07360067,0
15,-0.06675021,0,-0.07731412,0,-0.06675021,0
16,-0.06507937,0,-0.1053885,0,-0.06507937,0
17,-0.05772765,0,-0.09016709,0,-0.05772765,0
18,-0.05772765,0,-0.1086717,0,-0.05772765,0
19,-0.05772765,0,-0.1011571,0,-0.05772765,0
20,-0.05772765,0,-0.09792816,0,-0.05772765,0
21,-0.05772765,0,-0.08718462,0,-0.05772765,0
22,-0.05430242,0,-0.08291979,0,-0.05430242,0
23,-0.05430242,0,-0.07494988,0,-0.05430242,0
24,-0.0524645,0,-0.08820802,0,-0.0524645,0
25,-0.05229741,0,-0.07505848,0,-0.05229741,0
26,-0.05079365,0,-0.1194068,0,-0.05079365,0
27,-0.05062657,0,-0.1081537,0,-0.05062657,0
28,-0.05062657,0,-0.1087218,0,-0.05062657,0
29,-0.04954052,0,-0.08716793,0,-0.04954052,0
30,-0.04954052,0,-0.1062322,0,-0.04954052,0
31,-0.04820384,0,-0.09358813,0,-0.04820384,0
32,-0.04736842,0,-0.07468253,0,-0.04736842,0
33,-0.04619883,0,-0.08350877,0,-0.04619883,0
34,-0.04527987,0,-0.08422305,0,-0.04527987,0
35,-0.04519632,0,-0.08233501,0,-0.04519632,0
36,-0.04486215,0,-0.1001796,0,-0.04486215,0
37,-0.04519632,0,-0.09801588,0,-0.04486215,0
38,-0.04519632,0,-0.09204679,0,-0.04486215,0
39,-0.04519632,0,-0.1072431,0,-0.04486215,0
40,-0.04511278,0,-0.118208,0,-0.04486215,0
41,-0.04519632,0,-0.08345447,0,-0.04486215,0
42,-0.04519632,0,-0.0976274,0,-0.04486215,0
43,-0.04519632,0,-0.07938179,0,-0.04486215,0
44,-0.04469507,0,-0.1038262,0,-0.04469507,0
45,-0.04486215,0,-0.1015998,0,-0.04469507,0
46,-0.04519632,0,-0.0947995,0,-0.04469507,0
47,-0.04486215,0,-0.08589808,0,-0.04469507,0
48,-0.0449457,0,-0.08606516,0,-0.04469507,0
49,-0.04452799,0,-0.08963661,0,-0.04452799,0
50,-0.04519632,0,-0.1298496,0,-0.04452799,0
51,-0.04486215,0,-0.09367585,0,-0.04452799,0
52,-0.04486215,0,-0.1650376,0,-0.04452799,0
53,-0.04519632,0,-0.116015,0,-0.04452799,0
54,-0.04519632,0,-0.1049917,0,-0.04452799,0
55,-0.04502924,0,-0.09625314,0,-0.04452799,0
56,-0.04486215,0,-0.07840016,0,-0.04452799,0
57,-0.04519632,0,-0.1012615,0,-0.04452799,0
58,-0.04519632,0,-0.09686299,0,-0.04452799,0
59,-0.04527987,0,-0.1021763,0,-0.04452799,0
60,-0.04519632,0,-0.1428906,0,-0.04452799,0
61,-0.04519632,0,-0.1250961,0,-0.04452799,0
62,-0.0443609,0,-0.08537594,0,-0.0443609,0
63,-0.04511278,0,-0.08675021,0,-0.0443609,0
64,-0.04444445,0,-0.09912281,0,-0.0443609,0
65,-0.04511278,0,-0.1062281,0,-0.0443609,0
66,-0.04511278,0,-0.07635339,0,-0.0443609,0
67,-0.04461153,0,-0.07041353,0,-0.0443609,0
68,-0.04444445,0,-0.08758981,0,-0.0443609,0
69,-0.04502924,0,-0.1191729,0,-0.0443609,0
70,-0.04469507,0,-0.1094987,0,-0.0443609,0
71,-0.04444445,0,-0.1164745,0,-0.0443609,0
72,-0.04444445,0,-0.1146951,0,-0.0443609,0
73,-0.04461153,0,-0.08322474,0,-0.0443609,0
74,-0.04511278,0,-0.09727234,0,-0.0443609,0
75,-0.04444445,0,-0.1022222,0,-0.0443609,0
76,-0.04444445,0,-0.09616123,0,-0.0443609,0
77,-0.04377611,0,-0.08392648,0,-0.04377611,0
78,-0.04369257,0,-0.106888,0,-0.04369257,0
79,-0.04369257,0,-0.1010526,0,-0.04369257,0
80,-0.04344194,0,-0.1318839,0,-0.04344194,0
81,-0.04377611,0,-0.09386382,0,-0.04344194,0
82,-0.04369257,0,-0.09452381,0,-0.04344194,0
83,-0.04377611,0,-0.104858,0,-0.04344194,0
84,-0.04360902,0,-0.1000835,0,-0.04344194,0
85,-0.04360902,0,-0.08555557,0,-0.04344194,0
86,-0.04369257,0,-0.09564746,0,-0.04344194,0
87,-0.04369257,0,-0.09915622,0,-0.04344194,0
88,-0.04402673,0,-0.1168588,0,-0.04344194,0
89,-0.04377611,0,-0.1134336,0,-0.04344194,0
90,-0.04377611,0,-0.09898914,0,-0.04344194,0
91,-0.04360902,0,-0.0872431,0,-0.04344194,0
92,-0.0433584,0,-0.1000209,0,-0.0433584,0
93,-0.04369257,0,-0.1162281,0,-0.0433584,0
94,-0.04369257,0,-0.08703008,0,-0.0433584,0
95,-0.04369257,0,-0.115,0,-0.0433584,0
96,-0.04360902,0,-0.1305054,0,-0.0433584,0
