Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,-0.1161236,0,-0.2568505,0,-0.1161236,0
1,-0.1161236,0,-0.2043275,0,-0.1161236,0
2,-0.1161236,0,-0.1717711,0,-0.1161236,0
3,-0.08153718,0,-0.1389891,0,-0.08153718,0
4,-0.08153718,0,-0.1244528,0,-0.08153718,0
5,-0.07994988,0,-0.1046825,0,-0.07994988,0
6,-0.0764411,0,-0.09350042,0,-0.0764411,0
7,-0.07610694,0,-0.0927736,0,-0.07610694,0
8,-0.07360067,0,-0.08754386,0,-0.07360067,0
9,-0.07360067,0,-0.08119048,0,-0.07360067,0
10,-0.07092732,0,-0.07778613,0,-0.07092732,0
11,-0.06975773,0,-0.07740601,0,-0.06975773,0
12,-0.06641604,0,-0.07705513,0,-0.06641604,0
13,-0.06608187,0,-0.09698413,0,-0.06608187,0
14,-0.0647452,0,-0.07452381,0,-0.0647452,0
15,-0.06274018,0,-0.07157894,0,-0.06274018,0
16,-0.06023392,0,-0.08145364,0,-0.06023392,0
17,-0.06031746,0,-0.07955306,0,-0.06023392,0
18,-0.06031746,0,-0.08774436,0,-0.06023392,0
19,-0.06023392,0,-0.06735589,0,-0.06023392,0
20,-0.05672515,0,-0.08234335,0,-0.05672515,0
21,-0.05647452,0,-0.06283208,0,-0.05647452,0
22,-0.05655806,0,-0.08944444,0,-0.05647452,0
23,-0.05446951,0,-0.06093986,0,-0.05446951,0
24,-0.05413534,0,-0.1060526,0,-0.05413534,0
25,-0.05413534,0,-0.07136592,0,-0.05413534,0
26,-0.05321638,0,-0.0749081,0,-0.05321638,0
27,-0.05288221,0,-0.07850877,0,-0.05288221,0
28,-0.05238095,0,-0.07120301,0,-0.05238095,0
29,-0.05238095,0,-0.06415205,0,-0.05238095,0
30,-0.05238095,0,-0.1164829,0,-0.05238095,0
31,-0.05238095,0,-0.06979951,0,-0.05238095,0
32,-0.05221387,0,-0.09094821,0,-0.05221387,0
33,-0.04895572,0,-0.06594403,0,-0.04895572,0
34,-0.0487051,0,-0.065401,0,-0.0487051,0
35,-0.04795322,0,-0.05974102,0,-0.04795322,0
36,-0.04553049,0,-0.0977736,0,-0.04553049,0
37,-0.04527987,0,-0.1119841,0,-0.04527987,0
38,-0.0433584,0,-0.08860067,0,-0.0433584,0
39,-0.0421888,0,-0.06630327,0,-0.0421888,0
