Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
0,0.9826938,0,0.9813303,0,0.9826938,0
1,0.9828176,0,0.9815969,0,0.9828176,0
2,0.983389,0,0.9805544,0,0.983389,0
3,0.983389,0,0.9277992,0,0.983389,0
4,0.9828652,0,0.9808373,0,0.983389,0
5,0.9835065,0,0.9819015,0,0.9835065,0
6,1.018337,0,0.9320758,0,1.018337,0
7,1.018337,0,0.9805096,0,1.018337,0
8,1.031485,0,0.9346694,0,1.031485,0
9,1.032317,0,0.8762605,0,1.032317,0
10,1.032317,0,0.7748479,0,1.032317,0
11,1.032317,0,0.821355,0,1.032317,0
12,1.035934,0,0.7859371,0,1.035934,0
13,1.033287,0,0.79547,0,1.035934,0
14,1.036319,0,0.9057849,0,1.036319,0
15,1.036636,0,0.7662148,0,1.036636,0
16,1.036636,0,0.8425972,0,1.036636,0
17,1.036642,0,0.9773016,0,1.036642,0
18,1.037624,0,0.8685649,0,1.037624,0
19,1.037624,0,0.8507968,0,1.037624,0
20,1.037624,0,0.8507968,0,1.037624,0

